"","pval1","pval2","pval3","pval4"
"231",1.81044479473379e-93,2.06969775799013e-106,3.33338855800594e-100,2.33347068229644e-98
"232",2.12351999966304e-93,1.72056060315994e-106,8.46069389977815e-100,7.01409554237425e-98
"233",1.71207287138834e-93,7.29955612658408e-107,1.00778843991994e-99,1.4060624051618e-97
"234",1.18875564116704e-94,2.73572988970963e-107,3.61207991238168e-100,2.98323947570306e-97
"235",1.30613906850192e-93,2.86811851374139e-107,3.95196764113375e-100,2.81812264827238e-97
"236",7.37626459023011e-93,1.4927999009214e-107,4.58437336453429e-100,2.289257610605e-97
"237",1.05485527403872e-92,1.5133758413452e-107,5.25343359302313e-100,2.45333394433212e-97
"238",8.61274273510501e-93,2.36996825663655e-107,2.45465650489274e-100,1.73757363073107e-97
"239",1.01686372884719e-92,2.29564593432579e-107,4.11140248819014e-100,1.33633092698567e-97
"240",4.38151036201463e-93,6.96140748570635e-107,1.60791605459944e-99,1.61918336955649e-97
"241",2.51070816293434e-92,4.62619387651134e-107,4.07702731814105e-100,6.61313463528651e-98
"242",1.90632036137106e-92,7.55768218883745e-107,4.87769329058268e-100,6.72778048896749e-98
"243",3.9481526963142e-92,6.04125237995221e-107,1.49839012130944e-100,3.31262042826769e-98
"244",3.24240197520604e-92,4.27372978542136e-106,6.85913926535933e-100,2.11727953051832e-98
"245",7.0847403036006e-93,1.36585219144319e-106,3.78455897587088e-98,1.01191880806247e-98
"246",6.40626567917448e-93,9.19585689973689e-107,3.67523689453892e-98,7.16367335568823e-99
"247",5.37956850017119e-90,2.07421388348401e-107,2.89886922071895e-99,2.48349003794983e-99
"248",1.38371263727091e-90,1.12440594543384e-107,1.45758549183432e-99,4.94695447583362e-100
"249",2.40435072445203e-89,3.1531036154348e-109,1.49085227335888e-98,8.6848611312241e-101
"250",2.54055734194419e-89,1.04621429721743e-109,2.64493805236267e-98,1.36928463376369e-100
"251",2.83289864344143e-89,3.07956330249227e-110,3.32540864606839e-98,3.20805630613885e-99
"252",2.69407611199339e-89,4.13849039800609e-110,3.0179262763812e-98,7.39419434280096e-100
"253",2.24570838005349e-89,8.43429529037102e-110,4.81746969659735e-98,8.25060110203686e-100
"254",3.12754376336679e-89,1.84044272941711e-109,5.71830675676615e-98,1.22369531637585e-99
"255",2.86973817149173e-89,1.36668011824833e-107,4.32796806939571e-98,3.9304177303493e-100
"256",5.0500827724938e-89,9.32247066816703e-108,3.44943231982826e-98,4.75366784142756e-100
"257",5.79528286210785e-89,8.45398141097162e-108,7.97513128598481e-99,2.50506498943606e-100
"258",2.17391484367755e-88,8.71963871796829e-108,1.1062884836242e-98,2.28286630736912e-100
"259",3.53119464198683e-88,1.36419377668614e-107,7.07266280669193e-99,2.29307500226704e-100
"260",3.5008533769772e-88,1.26051966797041e-107,3.19356284316566e-99,1.32517723707655e-100
"261",4.22651383136127e-88,1.9337108398075e-107,3.13408824299686e-99,1.38211630209019e-100
"262",3.05718627435683e-88,3.0222362615451e-107,3.00904533344102e-99,1.442410814028e-100
